step,day,hour,root_depth,root_biomass,root_length,root_surface_area,root_distribution,root_density,root_activity,root_zone_volume,root_zone_layers,root_cohorts,fine_root_fraction,medium_root_fraction,coarse_root_fraction,cumulative_root_growth,daily_root_growth,step_count,last_update
159,7,14,40,0.3982,532.1782,161.5716,{},66.5223,0.3717,6.4294,[],[],0.3013,0.4093,0.2893,0.0000,0.0000,318,2025-10-17T21:51:33.303015
160,7,15,40,0.4010,537.1917,161.8707,{},67.1490,0.3693,6.3807,[],[],0.3009,0.4166,0.2825,0.0000,0.0000,320,2025-10-17T21:51:33.321595
161,7,16,40,0.4035,539.7238,162.6156,{},67.4655,0.3699,6.3549,[],[],0.2913,0.4278,0.2809,0.0000,0.0000,322,2025-10-17T21:51:33.339750
162,7,17,40,0.4056,528.2698,160.9377,{},66.0337,0.3681,6.3329,[],[],0.2871,0.4271,0.2858,0.0000,0.0000,324,2025-10-17T21:51:33.359148
163,7,18,40,0.4075,535.0587,162.1374,{},66.8823,0.3672,6.3616,[],[],0.2910,0.4259,0.2831,0.0000,0.0000,326,2025-10-17T21:51:33.378067
164,7,19,40,0.4091,524.4448,159.7432,{},65.5556,0.3664,6.2919,[],[],0.2916,0.4219,0.2865,0.0000,0.0000,328,2025-10-17T21:51:33.396991
165,7,20,40,0.4106,535.1525,161.5856,{},66.8941,0.3689,6.3578,[],[],0.3010,0.4166,0.2824,0.0000,0.0000,330,2025-10-17T21:51:33.416319
166,7,21,40,0.4118,537.7286,160.1033,{},67.2161,0.3688,6.2805,[],[],0.3147,0.4071,0.2782,0.0000,0.0000,332,2025-10-17T21:51:33.435179
167,7,22,40,0.4129,531.8511,158.9835,{},66.4814,0.3711,6.2657,[],[],0.3182,0.4011,0.2807,0.0000,0.0000,334,2025-10-17T21:51:33.453892
168,7,23,40,0.4139,530.0860,158.5570,{},66.2607,0.3729,6.2599,[],[],0.3185,0.3993,0.2822,0.0000,0.0000,336,2025-10-17T21:51:33.472947
169,8,0,40,0.4147,520.8265,158.3587,{},65.1033,0.3689,6.2924,[],[],0.3039,0.4073,0.2888,0.0000,0.0000,338,2025-10-17T21:51:33.492032
170,8,1,40,0.4169,522.9496,158.0537,{},65.3687,0.3686,6.2703,[],[],0.3139,0.3955,0.2906,0.0000,0.0000,340,2025-10-17T21:51:33.511137
171,8,2,40,0.4205,527.0812,158.2416,{},65.8851,0.3681,6.2606,[],[],0.3118,0.4009,0.2874,0.0000,0.0000,342,2025-10-17T21:51:33.530529
172,8,3,40,0.4236,534.9007,158.8850,{},66.8626,0.3705,6.2835,[],[],0.3198,0.3976,0.2826,0.0000,0.0000,344,2025-10-17T21:51:33.549852
173,8,4,40,0.4264,546.7357,159.3551,{},68.3420,0.3683,6.2934,[],[],0.3327,0.3921,0.2752,0.0000,0.0000,346,2025-10-17T21:51:33.569150
174,8,5,40,0.4287,551.3314,158.8174,{},68.9164,0.3713,6.2495,[],[],0.3386,0.3892,0.2722,0.0000,0.0000,348,2025-10-17T21:51:33.588274
175,8,6,40,0.4308,544.3116,157.7871,{},68.0390,0.3716,6.2485,[],[],0.3380,0.3871,0.2749,0.0000,0.0000,350,2025-10-17T21:51:33.607363
176,8,7,40,0.4325,545.7424,159.0340,{},68.2178,0.3716,6.2459,[],[],0.3299,0.3941,0.2760,0.0000,0.0000,352,2025-10-17T21:51:33.626781
177,8,8,40,0.4341,544.2238,158.1641,{},68.0280,0.3707,6.1701,[],[],0.3295,0.3950,0.2754,0.0000,0.0000,354,2025-10-17T21:51:33.647060
178,8,9,40,0.4354,549.8380,157.7392,{},68.7298,0.3719,6.0862,[],[],0.3331,0.3965,0.2704,0.0000,0.0000,356,2025-10-17T21:51:33.667427
179,8,10,40,0.4366,550.5135,158.3751,{},68.8142,0.3741,6.1407,[],[],0.3330,0.3950,0.2720,0.0000,0.0000,358,2025-10-17T21:51:33.687850
180,8,11,40,0.4376,562.4907,160.5511,{},70.3113,0.3734,6.2211,[],[],0.3409,0.3911,0.2681,0.0000,0.0000,360,2025-10-17T21:51:33.708609
181,8,12,40,0.4385,563.9406,161.0353,{},70.4926,0.3763,6.2269,[],[],0.3336,0.3975,0.2689,0.0000,0.0000,362,2025-10-17T21:51:33.728442
182,8,13,40,0.4407,568.9015,162.3010,{},71.1127,0.3736,6.2684,[],[],0.3330,0.3992,0.2678,0.0000,0.0000,364,2025-10-17T21:51:33.747854
183,8,14,40,0.4442,572.1520,164.8658,{},71.5190,0.3702,6.3586,[],[],0.3232,0.4068,0.2700,0.0000,0.0000,366,2025-10-17T21:51:33.768357
184,8,15,40,0.4474,576.7447,165.9385,{},72.0931,0.3725,6.4273,[],[],0.3272,0.4011,0.2716,0.0000,0.0000,368,2025-10-17T21:51:33.788606
185,8,16,40,0.4501,574.3838,166.4174,{},71.7980,0.3701,6.4568,[],[],0.3216,0.4039,0.2745,0.0000,0.0000,370,2025-10-17T21:51:33.808221
186,8,17,40,0.4524,570.9767,165.7039,{},71.3721,0.3664,6.4254,[],[],0.3243,0.4021,0.2736,0.0000,0.0000,372,2025-10-17T21:51:33.827556
187,8,18,40,0.4544,560.1725,164.6511,{},70.0216,0.3637,6.3868,[],[],0.3071,0.4170,0.2758,0.0000,0.0000,374,2025-10-17T21:51:33.846934
188,8,19,40,0.4562,562.4915,166.2928,{},70.3114,0.3662,6.4248,[],[],0.2980,0.4268,0.2752,0.0000,0.0000,376,2025-10-17T21:51:33.867127
189,8,20,40,0.4577,572.7726,166.6355,{},71.5966,0.3677,6.3962,[],[],0.3099,0.4221,0.2680,0.0000,0.0000,378,2025-10-17T21:51:33.887057
190,8,21,40,0.4590,570.1475,164.8846,{},71.2684,0.3736,6.2767,[],[],0.3129,0.4208,0.2663,0.0000,0.0000,380,2025-10-17T21:51:33.906571
191,8,22,40,0.4602,568.6901,165.4331,{},71.0863,0.3706,6.2857,[],[],0.3050,0.4292,0.2658,0.0000,0.0000,382,2025-10-17T21:51:33.926138
192,8,23,40,0.4612,569.6561,166.3304,{},71.2070,0.3696,6.3259,[],[],0.3017,0.4332,0.2651,0.0000,0.0000,384,2025-10-17T21:51:33.945072
193,9,0,40,0.4621,570.2221,165.9536,{},71.2778,0.3651,6.2939,[],[],0.3021,0.4354,0.2625,0.0000,0.0000,386,2025-10-17T21:51:33.965477
194,9,1,40,0.4642,562.1462,165.4136,{},70.2683,0.3660,6.2707,[],[],0.2907,0.4429,0.2664,0.0000,0.0000,388,2025-10-17T21:51:33.985815
195,9,2,40,0.4674,572.9122,165.7318,{},71.6140,0.3655,6.2345,[],[],0.3047,0.4344,0.2609,0.0000,0.0000,390,2025-10-17T21:51:34.005166
196,9,3,40,0.4703,560.5572,163.0242,{},70.0696,0.3696,6.1646,[],[],0.3011,0.4338,0.2651,0.0000,0.0000,392,2025-10-17T21:51:34.024767
197,9,4,40,0.4728,550.0886,161.4809,{},68.7611,0.3655,6.1168,[],[],0.2916,0.4391,0.2693,0.0000,0.0000,394,2025-10-17T21:51:34.043879
198,9,5,40,0.4749,547.3971,160.5548,{},68.4246,0.3689,6.1159,[],[],0.2953,0.4332,0.2716,0.0000,0.0000,396,2025-10-17T21:51:34.063280
199,9,6,40,0.4768,548.7525,161.5267,{},68.5941,0.3704,6.1624,[],[],0.2932,0.4371,0.2697,0.0000,0.0000,398,2025-10-17T21:51:34.082262
200,9,7,40,0.4784,550.1490,161.1191,{},68.7686,0.3718,6.1589,[],[],0.2990,0.4342,0.2668,0.0000,0.0000,400,2025-10-17T21:51:34.101574
201,9,8,40,0.4798,554.7471,161.8222,{},69.3434,0.3689,6.1741,[],[],0.3021,0.4329,0.2651,0.0000,0.0000,402,2025-10-17T21:51:34.121241
202,9,9,40,0.4810,558.5605,162.2547,{},69.8201,0.3721,6.1674,[],[],0.3047,0.4321,0.2632,0.0000,0.0000,404,2025-10-17T21:51:34.141153
203,9,10,40,0.4821,552.8610,160.8315,{},69.1076,0.3699,6.1248,[],[],0.3033,0.4345,0.2621,0.0000,0.0000,406,2025-10-17T21:51:34.161622
204,9,11,40,0.4830,552.1510,158.8245,{},69.0189,0.3683,6.0185,[],[],0.3138,0.4268,0.2594,0.0000,0.0000,408,2025-10-17T21:51:34.181283
205,9,12,40,0.4838,559.2249,159.4143,{},69.9031,0.3701,6.0375,[],[],0.3242,0.4190,0.2568,0.0000,0.0000,410,2025-10-17T21:51:34.200940
206,9,13,40,0.4858,550.4306,158.8143,{},68.8038,0.3735,6.0701,[],[],0.3187,0.4190,0.2623,0.0000,0.0000,412,2025-10-17T21:51:34.220200
207,9,14,40,0.4890,540.2957,156.0215,{},67.5370,0.3732,5.9754,[],[],0.3192,0.4136,0.2672,0.0000,0.0000,414,2025-10-17T21:51:34.239592
208,9,15,40,0.4919,540.0167,157.2398,{},67.5021,0.3726,6.0258,[],[],0.3102,0.4227,0.2672,0.0000,0.0000,416,2025-10-17T21:51:34.258424
209,9,16,40,0.4944,530.7611,156.5025,{},66.3451,0.3747,5.9956,[],[],0.2999,0.4301,0.2700,0.0000,0.0000,418,2025-10-17T21:51:34.277497
210,9,17,40,0.4965,515.5208,155.1093,{},64.4401,0.3720,5.9986,[],[],0.2874,0.4360,0.2766,0.0000,0.0000,420,2025-10-17T21:51:34.296500
211,9,18,40,0.4983,521.2443,157.0682,{},65.1555,0.3678,6.0681,[],[],0.2842,0.4409,0.2749,0.0000,0.0000,422,2025-10-17T21:51:34.315310
212,9,19,40,0.4999,519.1650,157.6179,{},64.8956,0.3690,6.0785,[],[],0.2737,0.4524,0.2739,0.0000,0.0000,424,2025-10-17T21:51:34.334271
213,9,20,40,0.5013,521.9566,158.2700,{},65.2446,0.3729,6.1127,[],[],0.2752,0.4501,0.2747,0.0000,0.0000,426,2025-10-17T21:51:34.353673
214,9,21,40,0.5025,526.8926,158.8035,{},65.8616,0.3768,6.1292,[],[],0.2832,0.4451,0.2717,0.0000,0.0000,428,2025-10-17T21:51:34.372828
215,9,22,40,0.5036,518.9064,156.4228,{},64.8633,0.3742,6.0502,[],[],0.2837,0.4408,0.2755,0.0000,0.0000,430,2025-10-17T21:51:34.392306
216,9,23,40,0.5046,513.4541,156.8926,{},64.1818,0.3742,6.0806,[],[],0.2740,0.4470,0.2790,0.0000,0.0000,432,2025-10-17T21:51:34.411377
217,10,0,40,0.5054,520.1856,158.2050,{},65.0232,0.3727,6.1131,[],[],0.2782,0.4446,0.2772,0.0000,0.0000,434,2025-10-17T21:51:34.430793
218,10,1,40,0.5082,522.6454,159.4529,{},65.3307,0.3700,6.1549,[],[],0.2724,0.4481,0.2795,0.0000,0.0000,436,2025-10-17T21:51:34.449834
219,10,2,40,0.5127,541.2233,161.7929,{},67.6529,0.3706,6.2002,[],[],0.2883,0.4402,0.2715,0.0000,0.0000,438,2025-10-17T21:51:34.468836
220,10,3,40,0.5168,551.5280,163.0244,{},68.9410,0.3744,6.2441,[],[],0.2974,0.4362,0.2664,0.0000,0.0000,440,2025-10-17T21:51:34.488486
221,10,4,40,0.5204,556.9552,162.5846,{},69.6194,0.3714,6.2110,[],[],0.3078,0.4292,0.2630,0.0000,0.0000,442,2025-10-17T21:51:34.507691
222,10,5,40,0.5235,557.2017,162.8336,{},69.6502,0.3708,6.2232,[],[],0.3117,0.4257,0.2626,0.0000,0.0000,444,2025-10-17T21:51:34.526728
223,10,6,40,0.5262,569.8992,165.7482,{},71.2374,0.3717,6.3027,[],[],0.3132,0.4269,0.2599,0.0000,0.0000,446,2025-10-17T21:51:34.545808
224,10,7,40,0.5285,570.9960,165.9175,{},71.3745,0.3727,6.3354,[],[],0.3167,0.4223,0.2610,0.0000,0.0000,448,2025-10-17T21:51:34.564713
225,10,8,40,0.5306,573.5418,165.8846,{},71.6927,0.3702,6.3313,[],[],0.3239,0.4175,0.2586,0.0000,0.0000,450,2025-10-17T21:51:34.583486
226,10,9,40,0.5323,576.1517,167.0292,{},72.0190,0.3682,6.3710,[],[],0.3244,0.4176,0.2580,0.0000,0.0000,452,2025-10-17T21:51:34.602568
227,10,10,40,0.5339,577.6616,168.9108,{},72.2077,0.3648,6.4221,[],[],0.3133,0.4283,0.2585,0.0000,0.0000,454,2025-10-17T21:51:34.621548
228,10,11,40,0.5352,580.0652,169.7963,{},72.5081,0.3653,6.4301,[],[],0.3095,0.4337,0.2568,0.0000,0.0000,456,2025-10-17T21:51:34.640376
229,10,12,40,0.5364,570.9065,168.8501,{},71.3633,0.3655,6.4351,[],[],0.3029,0.4323,0.2649,0.0000,0.0000,458,2025-10-17T21:51:34.659634
230,10,13,40,0.5394,580.6033,171.7400,{},72.5754,0.3670,6.5393,[],[],0.3068,0.4293,0.2639,0.0000,0.0000,460,2025-10-17T21:51:34.678238
231,10,14,40,0.5439,582.9715,171.8438,{},72.8714,0.3665,6.5566,[],[],0.3075,0.4301,0.2624,0.0000,0.0000,462,2025-10-17T21:51:34.697472
232,10,15,40,0.5480,590.7349,173.5130,{},73.8419,0.3673,6.5988,[],[],0.3132,0.4247,0.2621,0.0000,0.0000,464,2025-10-17T21:51:34.717167
233,10,16,40,0.5516,592.0248,172.0991,{},74.0031,0.3687,6.4367,[],[],0.3110,0.4315,0.2575,0.0000,0.0000,466,2025-10-17T21:51:34.737400
234,10,17,40,0.5546,593.0476,173.3527,{},74.1309,0.3688,6.5243,[],[],0.3123,0.4297,0.2579,0.0000,0.0000,468,2025-10-17T21:51:34.756591
235,10,18,40,0.5573,603.2617,175.8921,{},75.4077,0.3666,6.5911,[],[],0.3115,0.4320,0.2565,0.0000,0.0000,470,2025-10-17T21:51:34.775884
236,10,19,40,0.5596,603.8507,175.6402,{},75.4813,0.3680,6.5624,[],[],0.3121,0.4336,0.2543,0.0000,0.0000,472,2025-10-17T21:51:34.795322
237,10,20,40,0.5616,591.9500,173.2326,{},73.9937,0.3643,6.4545,[],[],0.2985,0.4450,0.2565,0.0000,0.0000,474,2025-10-17T21:51:34.814550
238,10,21,40,0.5633,597.3705,172.3171,{},74.6713,0.3642,6.4050,[],[],0.3087,0.4381,0.2531,0.0000,0.0000,476,2025-10-17T21:51:34.834077
239,10,22,40,0.5649,591.9127,169.7304,{},73.9891,0.3622,6.3143,[],[],0.3144,0.4323,0.2533,0.0000,0.0000,478,2025-10-17T21:51:34.853479
240,10,23,40,0.5662,589.2077,169.4542,{},73.6510,0.3623,6.3136,[],[],0.3168,0.4260,0.2572,0.0000,0.0000,480,2025-10-17T21:51:34.872867
241,11,0,40,0.5673,590.3763,169.0461,{},73.7970,0.3675,6.3024,[],[],0.3206,0.4233,0.2561,0.0000,0.0000,482,2025-10-17T21:51:34.892880
242,11,1,40,0.5696,587.1471,166.8423,{},73.3934,0.3711,6.2298,[],[],0.3336,0.4102,0.2562,0.0000,0.0000,484,2025-10-17T21:51:34.912880
243,11,2,40,0.5729,587.6430,167.5448,{},73.4554,0.3724,6.2717,[],[],0.3325,0.4092,0.2583,0.0000,0.0000,486,2025-10-17T21:51:34.933029
244,11,3,40,0.5759,572.3378,166.2485,{},71.5422,0.3739,6.2402,[],[],0.3201,0.4150,0.2649,0.0000,0.0000,488,2025-10-17T21:51:34.952921
245,11,4,40,0.5785,579.7537,165.7570,{},72.4692,0.3757,6.1961,[],[],0.3336,0.4087,0.2577,0.0000,0.0000,490,2025-10-17T21:51:34.971810
246,11,5,40,0.5807,570.9139,165.3191,{},71.3642,0.3733,6.2138,[],[],0.3239,0.4132,0.2628,0.0000,0.0000,492,2025-10-17T21:51:34.991610
247,11,6,40,0.5826,557.8595,164.5901,{},69.7324,0.3709,6.2153,[],[],0.3074,0.4239,0.2687,0.0000,0.0000,494,2025-10-17T21:51:35.010903
248,11,7,40,0.5843,552.1132,164.2954,{},69.0141,0.3720,6.2327,[],[],0.3011,0.4278,0.2711,0.0000,0.0000,496,2025-10-17T21:51:35.030055
249,11,8,40,0.5857,548.8275,163.7072,{},68.6034,0.3754,6.1995,[],[],0.2965,0.4320,0.2715,0.0000,0.0000,498,2025-10-17T21:51:35.049463
250,11,9,40,0.5870,553.5642,164.6822,{},69.1955,0.3755,6.2379,[],[],0.2976,0.4314,0.2710,0.0000,0.0000,500,2025-10-17T21:51:35.068689
251,11,10,40,0.5881,557.9382,165.1725,{},69.7423,0.3760,6.2496,[],[],0.3024,0.4292,0.2684,0.0000,0.0000,502,2025-10-17T21:51:35.091928
252,11,11,40,0.5891,555.7911,162.9855,{},69.4739,0.3783,6.1265,[],[],0.3075,0.4258,0.2667,0.0000,0.0000,504,2025-10-17T21:51:35.111703
253,11,12,40,0.5899,555.7787,163.8103,{},69.4723,0.3819,6.1423,[],[],0.3015,0.4308,0.2677,0.0000,0.0000,506,2025-10-17T21:51:35.131129
254,11,13,40,0.5921,557.3758,162.6807,{},69.6720,0.3784,6.0823,[],[],0.3079,0.4262,0.2660,0.0000,0.0000,508,2025-10-17T21:51:35.150544
255,11,14,40,0.5954,564.1283,164.1273,{},70.5160,0.3779,6.1441,[],[],0.3106,0.4269,0.2625,0.0000,0.0000,510,2025-10-17T21:51:35.169118
256,11,15,40,0.5985,568.2334,165.2742,{},71.0292,0.3765,6.1703,[],[],0.3070,0.4307,0.2623,0.0000,0.0000,512,2025-10-17T21:51:35.187870
257,11,16,40,0.6011,554.7710,163.3470,{},69.3464,0.3774,6.1351,[],[],0.3052,0.4251,0.2697,0.0000,0.0000,514,2025-10-17T21:51:35.206351
258,11,17,40,0.6034,562.9590,163.2163,{},70.3699,0.3764,6.1230,[],[],0.3203,0.4144,0.2654,0.0000,0.0000,516,2025-10-17T21:51:35.225209
259,11,18,40,0.6053,558.1971,162.6015,{},69.7746,0.3723,6.0667,[],[],0.3112,0.4215,0.2673,0.0000,0.0000,518,2025-10-17T21:51:35.243773
260,11,19,40,0.6070,568.8635,163.7383,{},71.1079,0.3740,6.0933,[],[],0.3247,0.4111,0.2642,0.0000,0.0000,520,2025-10-17T21:51:35.262737
261,11,20,40,0.6085,572.9437,162.4430,{},71.6180,0.3714,6.0265,[],[],0.3325,0.4074,0.2601,0.0000,0.0000,522,2025-10-17T21:51:35.281491
262,11,21,40,0.6098,567.3624,160.5362,{},70.9203,0.3726,5.9450,[],[],0.3313,0.4085,0.2603,0.0000,0.0000,524,2025-10-17T21:51:35.300380
263,11,22,40,0.6109,568.3490,160.3569,{},71.0436,0.3720,5.9361,[],[],0.3307,0.4111,0.2582,0.0000,0.0000,526,2025-10-17T21:51:35.319312
264,11,23,40,0.6119,564.2702,161.5922,{},70.5338,0.3714,6.0110,[],[],0.3200,0.4173,0.2627,0.0000,0.0000,528,2025-10-17T21:51:35.338292
265,12,0,40,0.6127,553.5064,160.3200,{},69.1883,0.3733,5.9864,[],[],0.3090,0.4249,0.2661,0.0000,0.0000,530,2025-10-17T21:51:35.357905
266,12,1,40,0.6149,548.6047,160.5802,{},68.5756,0.3701,6.0221,[],[],0.3006,0.4314,0.2680,0.0000,0.0000,532,2025-10-17T21:51:35.376519
267,12,2,40,0.6183,551.3330,160.7186,{},68.9166,0.3652,6.0600,[],[],0.3101,0.4216,0.2683,0.0000,0.0000,534,2025-10-17T21:51:35.395746
268,12,3,40,0.6214,560.1455,163.2000,{},70.0182,0.3693,6.1561,[],[],0.3110,0.4222,0.2668,0.0000,0.0000,536,2025-10-17T21:51:35.415099
269,12,4,40,0.6241,559.9082,165.1518,{},69.9885,0.3691,6.2473,[],[],0.2999,0.4314,0.2688,0.0000,0.0000,538,2025-10-17T21:51:35.433907
270,12,5,40,0.6264,561.2572,165.7211,{},70.1571,0.3686,6.2963,[],[],0.3006,0.4305,0.2689,0.0000,0.0000,540,2025-10-17T21:51:35.452665
271,12,6,40,0.6284,560.9928,165.8108,{},70.1241,0.3715,6.3166,[],[],0.2995,0.4297,0.2708,0.0000,0.0000,542,2025-10-17T21:51:35.471100
272,12,7,40,0.6301,552.5659,164.2759,{},69.0707,0.3725,6.2561,[],[],0.2889,0.4414,0.2697,0.0000,0.0000,544,2025-10-17T21:51:35.490079
273,12,8,40,0.6316,556.0675,163.9033,{},69.5084,0.3739,6.2361,[],[],0.3005,0.4318,0.2677,0.0000,0.0000,546,2025-10-17T21:51:35.508978
274,12,9,40,0.6330,549.9127,163.8452,{},68.7391,0.3682,6.2668,[],[],0.2962,0.4324,0.2714,0.0000,0.0000,548,2025-10-17T21:51:35.527976
275,12,10,40,0.6342,537.4358,161.2861,{},67.1795,0.3692,6.1802,[],[],0.2920,0.4322,0.2758,0.0000,0.0000,550,2025-10-17T21:51:35.546972
276,12,11,40,0.6353,547.6583,162.8929,{},68.4573,0.3706,6.2375,[],[],0.3001,0.4274,0.2724,0.0000,0.0000,552,2025-10-17T21:51:35.566205
277,12,12,40,0.6363,547.6345,162.8779,{},68.4543,0.3755,6.2535,[],[],0.3010,0.4259,0.2732,0.0000,0.0000,554,2025-10-17T21:51:35.585053
278,12,13,40,0.6386,549.4078,162.6070,{},68.6760,0.3750,6.2139,[],[],0.3000,0.4293,0.2707,0.0000,0.0000,556,2025-10-17T21:51:35.604121
279,12,14,40,0.6422,540.2819,161.5143,{},67.5352,0.3769,6.2114,[],[],0.2928,0.4303,0.2769,0.0000,0.0000,558,2025-10-17T21:51:35.623029
280,12,15,40,0.6454,526.8558,159.1567,{},65.8570,0.3757,6.1901,[],[],0.2915,0.4230,0.2854,0.0000,0.0000,560,2025-10-17T21:51:35.642091
281,12,16,40,0.6483,521.9546,158.7359,{},65.2443,0.3793,6.2183,[],[],0.2947,0.4161,0.2892,0.0000,0.0000,562,2025-10-17T21:51:35.660933
282,12,17,40,0.6507,523.7413,157.9807,{},65.4677,0.3800,6.1557,[],[],0.2986,0.4153,0.2860,0.0000,0.0000,564,2025-10-17T21:51:35.679609
283,12,18,40,0.6529,534.3070,159.8947,{},66.7884,0.3812,6.2122,[],[],0.3066,0.4120,0.2813,0.0000,0.0000,566,2025-10-17T21:51:35.698740
284,12,19,40,0.6548,538.8035,160.8544,{},67.3504,0.3830,6.2318,[],[],0.3093,0.4097,0.2809,0.0000,0.0000,568,2025-10-17T21:51:35.717495
285,12,20,40,0.6564,525.3148,158.2019,{},65.6643,0.3828,6.1862,[],[],0.3131,0.4002,0.2867,0.0000,0.0000,570,2025-10-17T21:51:35.736550
286,12,21,40,0.6578,528.6271,158.3041,{},66.0784,0.3778,6.1841,[],[],0.3161,0.4000,0.2839,0.0000,0.0000,572,2025-10-17T21:51:35.756317
287,12,22,40,0.6591,535.2094,160.2260,{},66.9012,0.3764,6.2558,[],[],0.3167,0.3998,0.2835,0.0000,0.0000,574,2025-10-17T21:51:35.775108
288,12,23,40,0.6602,548.9591,162.6570,{},68.6199,0.3744,6.3249,[],[],0.3219,0.4007,0.2774,0.0000,0.0000,576,2025-10-17T21:51:35.794651
289,13,0,40,0.6612,548.9108,163.0070,{},68.6138,0.3745,6.3199,[],[],0.3175,0.4056,0.2769,0.0000,0.0000,578,2025-10-17T21:51:35.814297
290,13,1,40,0.6636,553.1895,163.4866,{},69.1487,0.3773,6.3342,[],[],0.3181,0.4066,0.2753,0.0000,0.0000,580,2025-10-17T21:51:35.833734
291,13,2,40,0.6674,548.7114,162.7073,{},68.5889,0.3795,6.3020,[],[],0.3132,0.4104,0.2763,0.0000,0.0000,582,2025-10-17T21:51:35.852962
292,13,3,40,0.6708,546.0999,162.0753,{},68.2625,0.3760,6.2805,[],[],0.3094,0.4160,0.2746,0.0000,0.0000,584,2025-10-17T21:51:35.872427
293,13,4,40,0.6738,539.7988,162.6997,{},67.4749,0.3708,6.3255,[],[],0.2979,0.4242,0.2779,0.0000,0.0000,586,2025-10-17T21:51:35.891912
294,13,5,40,0.6764,542.9222,163.2373,{},67.8653,0.3689,6.3685,[],[],0.3073,0.4146,0.2781,0.0000,0.0000,588,2025-10-17T21:51:35.911699
295,13,6,40,0.6786,551.1650,163.2395,{},68.8956,0.3705,6.3314,[],[],0.3172,0.4097,0.2731,0.0000,0.0000,590,2025-10-17T21:51:35.930888
296,13,7,40,0.6805,549.5446,164.7819,{},68.6931,0.3706,6.4142,[],[],0.3084,0.4158,0.2758,0.0000,0.0000,592,2025-10-17T21:51:35.950656
297,13,8,40,0.6822,552.1780,165.3692,{},69.0223,0.3751,6.4168,[],[],0.3087,0.4172,0.2741,0.0000,0.0000,594,2025-10-17T21:51:35.970484
298,13,9,40,0.6836,550.6439,164.9805,{},68.8305,0.3763,6.4117,[],[],0.3082,0.4175,0.2743,0.0000,0.0000,596,2025-10-17T21:51:35.989482
299,13,10,40,0.6849,547.9865,163.9728,{},68.4983,0.3800,6.3869,[],[],0.3120,0.4120,0.2760,0.0000,0.0000,598,2025-10-17T21:51:36.008769
300,13,11,40,0.6860,550.1260,162.0676,{},68.7658,0.3794,6.2873,[],[],0.3252,0.4008,0.2740,0.0000,0.0000,600,2025-10-17T21:51:36.028316
301,13,12,40,0.6870,536.2091,160.6209,{},67.0261,0.3739,6.2811,[],[],0.3125,0.4065,0.2810,0.0000,0.0000,602,2025-10-17T21:51:36.047424
302,13,13,40,0.6895,526.2046,159.2073,{},65.7756,0.3711,6.2607,[],[],0.3052,0.4089,0.2859,0.0000,0.0000,604,2025-10-17T21:51:36.066493
303,13,14,40,0.6933,523.6520,158.5751,{},65.4565,0.3711,6.2420,[],[],0.3103,0.4010,0.2886,0.0000,0.0000,606,2025-10-17T21:51:36.085116
304,13,15,40,0.6968,525.1856,159.0877,{},65.6482,0.3706,6.2434,[],[],0.3085,0.4033,0.2882,0.0000,0.0000,608,2025-10-17T21:51:36.105169
305,13,16,40,0.6998,529.2858,160.0165,{},66.1607,0.3693,6.2897,[],[],0.3139,0.3977,0.2885,0.0000,0.0000,610,2025-10-17T21:51:36.125028
306,13,17,40,0.7024,532.2932,160.4708,{},66.5367,0.3709,6.3067,[],[],0.3198,0.3906,0.2896,0.0000,0.0000,612,2025-10-17T21:51:36.144706
307,13,18,40,0.7046,530.0626,159.7341,{},66.2578,0.3741,6.2887,[],[],0.3203,0.3916,0.2881,0.0000,0.0000,614,2025-10-17T21:51:36.164587
308,13,19,40,0.7066,528.7557,159.7766,{},66.0945,0.3754,6.2511,[],[],0.3169,0.3966,0.2864,0.0000,0.0000,616,2025-10-17T21:51:36.184628
309,13,20,40,0.7082,518.1598,157.9070,{},64.7700,0.3779,6.1684,[],[],0.3099,0.3994,0.2906,0.0000,0.0000,618,2025-10-17T21:51:36.204082
310,13,21,40,0.7097,520.6840,158.0360,{},65.0855,0.3738,6.1593,[],[],0.3126,0.3992,0.2883,0.0000,0.0000,620,2025-10-17T21:51:36.223964
311,13,22,40,0.7110,519.2591,158.8209,{},64.9074,0.3742,6.2079,[],[],0.3046,0.4036,0.2918,0.0000,0.0000,622,2025-10-17T21:51:36.243194
312,13,23,40,0.7121,526.6088,158.4270,{},65.8261,0.3776,6.1401,[],[],0.3127,0.4020,0.2853,0.0000,0.0000,624,2025-10-17T21:51:36.262390
313,14,0,40,0.7131,522.8090,158.6842,{},65.3511,0.3771,6.1479,[],[],0.3021,0.4109,0.2871,0.0000,0.0000,626,2025-10-17T21:51:36.283037
314,14,1,40,0.7154,520.9495,158.1569,{},65.1187,0.3744,6.1087,[],[],0.2971,0.4153,0.2876,0.0000,0.0000,628,2025-10-17T21:51:36.302604
315,14,2,40,0.7190,527.6190,160.0136,{},65.9524,0.3772,6.1754,[],[],0.2932,0.4201,0.2867,0.0000,0.0000,630,2025-10-17T21:51:36.321750
316,14,3,40,0.7222,532.5243,160.9820,{},66.5655,0.3772,6.2035,[],[],0.2945,0.4203,0.2852,0.0000,0.0000,632,2025-10-17T21:51:36.341420
317,14,4,40,0.7250,536.5105,160.9327,{},67.0638,0.3737,6.1664,[],[],0.2992,0.4204,0.2805,0.0000,0.0000,634,2025-10-17T21:51:36.360931
